L4 | Tue Feb 26 18:27:19 2019 (440 ms) | general | exiting: calling SDL_CloseAudio

L4 | Tue Feb 26 18:27:19 2019 (712 ms) | general | exiting: Deleting sceneHandler

L4 | Tue Feb 26 18:27:19 2019 (712 ms) | general | Freeing sound sprites

L4 | Tue Feb 26 18:27:19 2019 (713 ms) | general | exiting: freeing frameDrawer

L4 | Tue Feb 26 18:27:19 2019 (971 ms) | general | exiting: Deleting screen

L4 | Tue Feb 26 18:27:19 2019 (971 ms) | general | exiting: freeing drawString

L4 | Tue Feb 26 18:27:19 2019 (972 ms) | general | exiting: calling SDL_Quit()

L4 | Tue Feb 26 18:27:20 2019 (546 ms) | general | exiting: deleting screenShotPrefix

L4 | Tue Feb 26 18:27:20 2019 (546 ms) | general | exiting: Done.

